Date;Isolation;Muscu;Stretching;warmup;Chorée;Temps;Chorée_1;Temps_2;Chorée_3;Temps_4;Style;Temps_5;Style_6;Temps_7;Autre;Chorée_8;Temps_9;Chorée_10;Temps_11;Abdos;Gainage;Jambes;Bras;All;Escalade;Waacking;running_temps;running_km;Pleurs;Raisons;Column1;_12;Règles;SPM;Durée;Détails;Mood;Journaling;Stretching2;Danse;Sport;Lecture;Album;Film;Rangement;Culture;Art;Skincare;Compétence;Split stretching;Muscu3
01/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;4;1;1;1;0;1;1;1;;0;;;;;
02/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;1;1;1;0;0;1;1;;1;;;;;
03/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;1;1;1;0;1;1;1;;1;;;;;
04/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;1;1;1;0;1;1;0;;1;;;;;
05/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;1;1;1;0;1;0;1;;0;;;;;
06/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;3;Film/vidéo;Musique;;VRAI;FAUX;5min;;3;0;0;0;0;0;0;1;;0;;;;;
07/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;VRAI;FAUX;5 min;;1;0;1;0;0;1;0;0;;0;;;;;
08/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;6;0;1;1;1;1;1;0;;0;;;;;
09/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;0;0;1;1;1;;1;;;;;
10/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;1;1;1;;0;1;;;;
11/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;5min;;2;0;1;1;1;0;1;1;;1;1;;;;
12/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;1;1;1;0;1;0;1;;0;1;;;;
13/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;3;Solitude;Musique;;FAUX;FAUX;Très courts pour chaque (juste quelques sanglots);;1;0;1;0;0;1;0;1;;0;0;;;;
14/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;1;0;1;1;;0;1;;;;
15/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;1;1;1;;0;1;;;;
16/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;0;1;0;;0;1;;;;
17/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;2;Musique;Ma propre imagination ???;;FAUX;FAUX;15 min;1min;3;1;1;1;1;1;1;0;;0;1;;;;
18/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;0;1;1;;0;1;;;;
19/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;2;Film/vidéo;;;FAUX;FAUX;15MIN;;2;0;1;1;0;0;0;1;;0;1;;;;
20/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;1;0;1;0;;0;1;;;;
21/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;1;Musique;;;FAUX;FAUX;2min;;2;0;1;1;1;1;1;1;;0;1;;;;
22/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;1;1;0;0;1;;0;0;;;;
23/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;0;1;0;;0;1;;;;
24/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;4;0;1;1;0;0;1;1;;0;0;;;;
25/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;0;0;0;0;1;;0;0;;;;
26/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;0;0;0;0;0;;0;0;;;;
27/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;3;Fatigue;Overwhelmed;;FAUX;VRAI;5 min chaque;;3;0;1;0;0;1;0;1;;0;0;;;;
28/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;2;Fatigue;Angoisse;Overwhelmed;FAUX;VRAI;1h chaque;chez amina, trop de monde + en panique parce que j'avais l'impression que manon trompais son mec;2;0;1;0;0;1;0;0;;0;0;;;;
29/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;3;0;1;1;1;0;0;0;;0;0;;;;
30/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;0;1;0;;0;1;;;;
31/01/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;0;0;0;1;;1;0;;;;
01/02/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;VRAI;FAUX;1 SEC;;2;0;1;0;0;0;0;0;0;0;0;;;;
02/02/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;1;Musique;;;VRAI;FAUX;1 sec;;2;0;1;1;0;0;0;1;0;0;1;;;;
03/02/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;1;0;0;1;1;0;0;;;;
04/02/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;FAUX;1 min;;3;0;1;1;0;0;0;1;1;0;0;;;;
05/02/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;1;0;0;1;1;0;1;;;;
