Date,Semaine,Total,Total Danse,Stretch,Stretch_split,Stretch_bonus,Muscu_duree,Muscu_zone,Muscu_zone2,Danse,Chorée1_morceau,Chorée1_durée,Chorée2_morceau,Chorée2_durée,Chorée3_morceau,Chorée3_durée,Chorée4_morceau,Chorée4_durée,Chorée5_morceau,Chorée5_durée,Escalade,Running,Autre
01/01,1,0,0,FALSE,FALSE,,,,,,,,,,,,,,,,,,
02/01,1,65,45,FALSE,FALSE,,20,🍫,💪,,Sam Smith ft. Kim Petras - Unholy - Juana,26,Sunmi - Gashina,11,Stray kids - Walking on water,8,,,,,,,
03/01,1,63,31,FALSE,FALSE,5,7,💪,,10,Sam Smith ft. Kim Petras - Unholy - Juana,13,Sunmi - Gashina,4,Stray kids - Walking on water,4,,,,,25,,
04/01,1,57,24,TRUE,FALSE,4,23,🕺,💪,,Ariana Grande - Dangerous woman - Rozalin,15,Sam Smith ft. Kim Petras - Unholy - Juana,5,Sunmi - Gashina,3,Stray kids - Walking on water,1,,,,,
05/01,1,35,3,TRUE,FALSE,,22,🕺,💪,,Ariana Grande - Dangerous woman - Rozalin,3,,,,,,,,,,,
06/01,2,7,7,FALSE,FALSE,,,,,,Ariana Grande - Dangerous woman - Rozalin,7,,,,,,,,,,,
07/01,2,85,60,FALSE,FALSE,,,,,60,,,,,,,,,,,25,,
08/01,2,63,34,FALSE,TRUE,,22,💪,🍫,8,Stray kids - Walking on water,9,Sunmi - Gashina,6,Sam Smith ft. Kim Petras - Unholy - Juana,5,Ariana Grande - Dangerous woman - Rozalin,6,,,,,
09/01,2,61,31,TRUE,FALSE,,20,🦵,🍑,,Aespa - Drama,21,Sam Smith ft. Kim Petras - Unholy - Juana,5,Ariana Grande - Dangerous woman - Rozalin,5,,,,,,,
10/01,2,73,30,FALSE,FALSE,,3,💪,,,Aespa - Drama,20,Sam Smith ft. Kim Petras - Unholy - Juana,6,Ariana Grande - Dangerous woman - Rozalin,4,,,,,40,,
11/01,2,60,30,TRUE,FALSE,,20,💪,🍫,,Aespa - Drama,10,Sam Smith ft. Kim Petras - Unholy - Juana,5,Jason Derulo - Talk Dirty - Bizarre,10,Ariana Grande - Dangerous woman - Rozalin,5,,,,,
12/01,2,53,30,FALSE,FALSE,,23,🦵,🍑,,Aespa - Drama,6,Sam Smith ft. Kim Petras - Unholy - Juana,5,Jason Derulo - Talk Dirty - Bizarre,15,Ariana Grande - Dangerous woman - Rozalin,4,,,,,
13/01,3,61,48,FALSE,FALSE,,13,💪,🍫,11,Aespa - Drama,3,Sam Smith ft. Kim Petras - Unholy - Juana,7,Jason Derulo - Talk Dirty - Bizarre,13,Ariana Grande - Dangerous woman - Rozalin,6,XG - New Dance,8,,,
14/01,3,67,25,TRUE,FALSE,,2,💪,,10,Jason Derulo - Talk Dirty - Bizarre,4,Ariana Grande - Dangerous woman - Rozalin,6,Aespa - Drama,5,,,,,30,,
