"ISBN";"Titre";"Auteur";"Editeur";"Date de publication";"Date d`entrée dans Babelio";"Statut";"Note"
"9782493909213";"Mon mari";"Ventura Maud";"Collection Proche";"2023-05-11";"2026-06-15 20:39:16";"Lu";"3.5"
"9782072824425";"Vers la beauté";"Foenkinos David";"Folio";"2019-05-02";"2026-06-02 13:07:09";"Lu";"3.0"
"9791041420216";"Monique s'évade";"Louis Édouard";"Points";"2025-04-25";"2026-05-01 17:50:10";"En cours";"4.5"
"9782253251033";"La Dernière Allumette";"Vareille Marie";"Le Livre de Poche";"2025-04-02";"2026-04-05 21:05:54";"Lu";"4.5"
"9782290026694";"La chronique des Bridgerton, tome 6 : Francesca";"Quinn Julia";"J'ai lu";"2010-09-15";"2026-04-05 21:04:19";"Lu";"3.5"
"9782290389850";"Les Fossoyeurs";"Castanet Victor";"J'ai lu";"2023-01-25";"2026-02-15 00:20:21";"Lu";"3.5"
"9782290025376";"La chronique des Bridgerton, tome 5 : Eloïse";"Quinn Julia";"J'ai lu";"2010-06-12";"2026-02-08 11:12:44";"Lu";"2.0"
"9782221282878";"Les Bateaux sur la terrasse";"Rémond Lacroix Jessé";"Robert Laffont";"2026-01-08";"2026-02-05 23:30:58";"A lire";"0.0"
"9782344057360";"La mise à mort du tétras lyre";"Combet David";"Glénat BD";"2025-09-24";"2026-01-24 17:40:38";"Lu";"3.5"
"9782344067376";"Blasfamous";"Andolfo Mirka";"Glénat BD";"2025-01-22";"2025-10-14 08:44:20";"Lu";"3.5"
"9782882509024";"Amour fou";"Michelis Denis";"Noir Blanc";"2024-01-11";"2025-09-24 18:47:12";"Lu";"3.5"
"9782377317813";"Voleuse";"Bryon Lucie";"Sarbacane";"2022-02-02";"2025-09-24 18:46:14";"Lu";"4.0"
"9782370552181";"Longue vie";"Moussé Stanislas";"Le Tripode";"2020-04-16";"2025-08-23 09:54:55";"Lu";"3.0"
"9791041108121";"Celle qui parle";"Jaraba Abellán Alicia";"Bamboo";"2024-08-28";"2025-08-23 09:53:16";"Lu";"3.0"
"9782253004752";"Les Hauts de Hurle-Vent";"Brontë Emily";"Librairie générale française";"1974-07-01";"2025-08-16 12:50:41";"Lu";"2.0"
"9782253100539";"Le Pouvoir";"Alderman Naomi";"Le Livre de Poche";"2019-08-28";"2025-08-16 09:22:23";"Lu";"3.5"
"9781090743008";"Dora";"Rodriguez Minaverry Ignacio";"L'Agrume";"2012-09-15";"2025-08-05 16:56:08";"Lu";"2.5"
"9782226488862";"22 longueurs";"Wahl Caroline";"Albin Michel";"2025-02-26";"2025-08-03 12:32:16";"Lu";"2.5"
"9791040805489";"Entre elles";"Spira Pauline";"Sarbacane";"2025-06-04";"2025-07-17 08:33:27";"Lu";"3.0"
"9782413078944";"Minuit passé";"Geniller Gaëlle";"Delcourt";"2024-10-30";"2025-07-05 18:28:24";"Lu";"5.0"
"9782207143889";"L'ennemie";"Némirovsky Irène";"Denoël";"2019-05-16";"2025-06-29 10:12:30";"A lire";"0.0"
"9782070412082";"Lolita";"Nabokov Vladimir";"Gallimard";"2001-05-23";"2025-06-29 10:11:03";"A lire";"0.0"
