Nom,Style,Durée (s),Difficultée,Estimation,Note
Stray kids - Walking on water,Kpop boy,24,6/10,1h30,"6,5/10"
Sunmi - Gashina,Kpop girl,72,2/10,1h,"7,5/10"
Sam Smith ft. Kim Petras - Unholy - Juana,Urban,68,8/10,3h30,5/10
Ariana Grande - Dangerous woman - Rozalin,Sexy,68,7/10,3h,7/10
Aespa - Drama,Kpop girl,76,4/10,1h30,"6,5/10"
Jason Derulo - Talk Dirty - Bizarre,Sexy,47,5/10,2h,7/10
Trust Me - Sunkis - J-San,Urban,33,7/10,3h,5/10
Game Boy - ROSE - KOOJAEMO,Urban,50,7/10,2h30,"5,5/10"
Enhypen - Fever,Kpop boy,39,6/10,1h,"6,5/10"
Tambourine - Eve - LeeJung,Urban,60,7/10,2h,4/10
Sabrina Carpenter - Looking at Me - Yao Ye,Sexy,66,7/10,2h15,7/10
Bebe Rexha - Break My Heart Myself,Urban,28,5/10,1h,5/10
SVT - Maestro,Kpop boy,199,"8,5/10",3h30,6/10
Mi Gente,Dancehall,55,,2h,5/10
Changbin - Ultra,Kpop boy,26,,1h,8/10
Dreamcatcher - Justice,Kpop girl,81,,2h,6/10
Taemin - Guilty,Kpop boy,47,,,6/10
NMIXX - See That,Kpop girl,182,,,6/10
 FLO - Fly Girl ft. Missy Elliott - SAERIM,Urban,29,8/10,,"6,5/10"
Safer - Tyla - Jioh Lim,Dancehall,22,6/10,,7/10
BadVillain - Zoom,Kpop girl,170,7/10,,7/10
Sorn - Sharp Objects,Waacking/voguing,36,4/10,,7/10
Ten - Birthday,Kpop boy,75,8/10,,5/10
LE SSERAFIM - Come Over,Kpop girl,137,6/10,,6/10
Ariana Grande - positions - Tina Boo,Sexy,44,,,"7,5/10"
Doja Cat - So High - Lit,Urban,60,,,7/10
Jennie - With the IE,Kpop girl,22,,,6/10
ABCD - Nayeon,Kpop girl,32,,,6/10
NMIXX - Dash,Kpop girl,32,,,8/10
Vroom Vroom -KAZUMABOY & K chan,Waacking/voguing,30,,,7/10
Everglow - Slay,Kpop girl,44,,,8/10
Twice - Cry for me,Kpop girl,36,,,8/10
"Earth, Wind & Fire - September - Amy Park",Urban,35,,,7/10
Ateez - Ice on my teeth,Kpop boy,58,,,"7,5/10"
Tinashe - NASTY - Hilee,Sexy,52,,,"6,5/10"
TXT - Back for more,Kpop boy,32,,,8/10
Tate McRae - Its ok Im ok - Bada Lee,Urban,89,,,"3,5/10"
Ten - Stunner,Kpop boy,45,,,8/10
Sexy Back - Justin Timberlake - J-San x Puppy,Sexy,35,,,"6,5/10"
Isabel LaRosa - Favorite,Sexy,26,,,6/10
Minnie - HER,Kpop girl,32,,,6/10
TAEYONG - TAP,Kpop boy,56,,,7/10
Stray Kids - S CLASS,Kpop boy,37,,,"5,5/10"
Le SSERAFIM - Antifragile,Kpop girl,187,,,6/10
Jennie - Like Jennie,Kpop girl,30,,,7/10
"Lah Pat, Flo Milli - Rodeo - Bada Lee",Urban,75,,,7/10
Dreamcatcher - Because,Kpop girl,30,,,8/10
Meovv - Hands Up,Kpop girl,192,,,"7,5/10"
Aespa - Dirty Work,Kpop girl,180,,,7/10
SEVENTEEN - 아주 NICE,Kpop boy,192,,,8/10
DPR IAN - So Beautiful - ZIRO,Urban,37,,,7;5/10
KPop Demon Hunters - GOLDEN,Kpop girl,35,,,8/10
Ariana Grande - The Boy is Mine -  Lit,Urban,70,,,6/10
PIXY - Karma,Kpop girl,183,,,"7,5/10"
AleXa - EXTRA,Kpop girl,87,,,"6,5/10"
Lisa - Born Again - Redy,Urban,40,,,8/10
L5 - Toutes les femmes - Mehdi Kerkouche,Street jazz,40,,,7/10
Anyme - Shamballa,Dancehall,22,,,"7,5/10"
Jessie J - Bang Bang - CERA,Waacking/voguing,30,,,
Elton John ft. Dua Lipa - Cold Heart - Bailey Sok,Urban,48,,,
Camp Rock 2 - Can’t Back Down,Street jazz,,,,
CJ - Whoopty - Anthony Lee,Urban,,,,
Tate McRae - Sports car,Street jazz,24,,,
AOA - Miniskirt - Mokey,Kpop girl,33,,,7/10
BOYNEXTDOOR - Hollywood Action,Kpop boy,24,,,
,,,,,
XG - New Dance,,75,,,
KIOF - Nobody knows,,44,,,
Bad - Christopher,Urban,68,,,
Jungkook - 3D,Kpop boy,37,,,
,,,,,
Lewis Capaldi - Before you go - SOO,,76,7/10,2h30,
Bella Poarch - Build a Bitch - Tina Boo,,32,,,
