exercise_title;muscle
Pull Up (Assisted);Dos
Seated Shoulder Press (Machine);Épaules
Iso-Lateral Low Row;Dos
Iso-Lateral Chest Press (Machine);Pectoraux
Lat Pulldown (Cable);Dos
Back Extension (Machine);Dos
Back Extension (Hyperextension);Dos
Bicep Curl (Dumbbell);Bras
Hammer Curl (Dumbbell);Bras
Triceps Rope Pushdown;Bras
Triceps Dip (Assisted);Bras
Seated Palms Up Wrist Curl;Bras
Vertical Traction (Machine);Dos
Seated Cable Row - V Grip (Cable);Dos
Dumbbell Row;Dos
Renegade Row (Dumbbell);Dos
Butterfly (Pec Deck);Pectoraux
Push Up;Pectoraux
Kneeling Push Up;Pectoraux
Plank Pushup;Pectoraux
Curl to press;Épaules
Hip Thrust (Barbell);Jambes
Hip Abduction (Machine);Jambes
Hip Adduction (Machine);Jambes
Abductor;Jambes
Standing Cable Glute Kickbacks;Jambes
Leg Press Horizontal (Machine);Jambes
Single Leg Press (Machine);Jambes
Leg Extension (Machine);Jambes
Seated Leg Curl (Machine);Jambes
Lying Leg Curl (Machine);Jambes
Calf Extension (Machine);Jambes
Goblet Squat;Jambes
Squat (Dumbbell);Jambes
Reverse Lunge (Dumbbell);Jambes
Lunge;Jambes
Lunge (Dumbbell);Jambes
Box Jump;Jambes
Plyo Jump;Jambes
Burpee;Cardio
Jumping Jack;Cardio
Running;Cardio
Rowing Machine;Cardio
Stair Machine (Floors);Cardio
Stamina;Cardio
Plyometrics;Cardio
;
;
Abdos;Abdominaux
Crunch (Machine);Abdominaux
Crunch (Weighted);Abdominaux
Sit Up (Weighted);Abdominaux
Reverse Crunch;Abdominaux
Russian Twist (Weighted);Abdominaux
Leg Raise Parallel Bars;Abdominaux
Side Plank;Abdominaux
Plank;Abdominaux
Fullbody Tiktok;Full Body
Danse;Cardio
