ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
19291711615,"13 juil. 2026, 08:52:18",Course à pied matinale,Course à pied,"",1170,"3,01",,,false,,,activities/19291711615.gpx,,,1170.0,1170.0,3012.0,5.667,2.574,32.1,34.0,501.9,531.4,6.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3041.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.574,0.0,,,,,0.0,,,,2.6,,,,,,,,,,,,""
19264070995,"11 juil. 2026, 06:14:42",😮‍💨🤧,Course à pied,"",1046,"2,02",,,false,,,activities/19264070995.gpx,,,1046.0,722.0,2025.0,11.429,2.805,0.0,3.0,171.1,174.1,13.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2026.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.936,79.5,,,,,0.0,,,,2.807,,,,,,,,,,,,""
18975068626,"18 juin 2026, 18:05:18",Too hot 🥵🫦,Course à pied,"",1249,"3,00",,,false,,,activities/20088353129.fit.gz,,,1249.0,1249.0,3003.3,2.744,2.405,0.0,0.0,0.0,0.0,0.0,0.0,,,86.0,83.0,,,,,210.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,3003.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.405,0.0,,,,3456.0,0.0,,,,,,,,,,,,,,,,""
18916306640,"14 juin 2026, 08:23:15",Gilles de la Tournette,Randonnée,"",12939,"7,49",,,false,,,activities/18916306640.fit,,,12939.0,8988.0,7489.1,2.68,0.833,424.3,422.7,452.4,760.8,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579,5395.2,,,,,0.0,,,,,,,,,,,,,,,,""
18820606423,"7 juin 2026, 08:24:20",Courir pour elles 🩷👑,Course à pied,"",4195,"10,01",,,false,,,activities/19931465004.fit.gz,,,4195.0,4188.0,10018.4,3.286,2.392,25.1,24.7,171.6,185.2,4.1,0.0,,,88.0,84.0,,,,,749.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10041.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.388,6168.5,,,,11720.0,0.0,,,,2.398,,,,,,,,,,,,""
18759926226,"2 juin 2026, 18:02:56",🐟🐟,Course à pied,"",2164,"5,37",,,false,,,activities/18759926226.gpx,,,2164.0,2124.0,5374.0,5.42,2.53,2.5,2.6,170.2,173.0,3.9,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5379.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.483,2350.0,,,,,0.0,,,,2.533,,,,,,,,,,,,""
18716747367,"30 mai 2026, 07:15:20",Randonnée le matin,Randonnée,,27258,"15,75",,,false,,,activities/18716747367.fit,,,27258.0,18742.0,15756.9,2.7,0.841,1361.0,1401.0,299.5,1383.7,50.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578,12253.2,,,,,0.0,,,,,,,,,,,,,,,,""
18692145694,"28 mai 2026, 17:07:55",Bah super le bug 😬🤖,Course à pied,"A peu près 5,5 km en  40 min",2460,"3,91",,,false,,,activities/18692145694.gpx,,,2460.0,560.0,3914.7,9.683,6.991,0.0,0.0,170.8,172.3,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3914.8,1779987600.0,8.0,31.1,31.2,11.5,0.3,1018.0,7.4,12.2,357.0,0.0,1779940609.0,1779995953.0,0.375,,,0.0,1.0,0.02,32841.0,1.0,,,,,,1.591,1515.5,,,,,0.0,,,,6.991,,,,,,,,,,,,""
18642780154,"25 mai 2026, 04:51:02",Course à pied matinale,Course à pied,"",1273,"3,04",,,false,,,activities/18642780154.gpx,,,1273.0,1271.0,3040.3,8.08,2.392,0.0,2.8,171.2,174.1,5.3,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3040.7,1779681600.0,1.0,17.8,17.9,15.2,0.85,1027.8,0.6,1.8,90.0,0.0,1779681559.0,1779736590.0,0.375,,,0.44,1.0,0.0,28091.0,0.0,,,,,,2.388,1563.1,,,,,0.0,,,,2.392,,,,,,,,,,,,""
18598589329,"21 mai 2026, 17:06:36",Course à pied le soir,Course à pied,"",3002,"7,19",,,false,,,activities/18598589329.gpx,,,3002.0,2967.0,7198.5,7.08,2.426,7.6,5.2,170.1,173.1,7.7,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7212.3,1779382800.0,1.0,24.8,26.3,13.3,0.49,1023.8,2.5,5.2,11.0,0.0,1779336163.0,1779390704.0,0.125,,,0.0,1.0,0.0,32327.0,1.0,,,,,,2.398,3378.7,,,,,0.0,,,,2.431,,,,,,,,,,,,""
