uuid,tvdb_id,imdb_id,title,year,created_at,watched_at,is_watched,rewatch_count
fe9cd0a8-8139-4748-959b-917b99a6bd65,285,tt0103639,Aladdin,1993,2022-11-01T18:44:47Z,2022-11-01T18:44:47Z,true,0
fe8fb587-adf5-49f4-ae18-387d287bdbe1,147512,tt10229982,My First Summer,2020,2025-07-05T11:17:56Z,,false,0
fe8e64de-c605-43d8-8072-fe8464db4f12,157595,tt10307724,Madame Claude,2021,2022-11-02T13:37:25Z,2022-11-02T13:37:30Z,true,0
fe040628-4c70-4728-8eab-8d9e778b3920,140,tt1790864,The Maze Runner,2014,2022-11-06T05:22:47Z,2022-11-06T05:22:47Z,true,0
fc6f2a04-6c9d-4616-a4ea-aede878f75f5,353646,tt29623480,The Wild Robot,2024,2024-10-14T21:08:33Z,2024-10-14T21:08:35Z,true,0
fba77bbb-092b-4d99-a68a-af6a70f284e8,153,tt0330373,Harry Potter and the Goblet of Fire,2005,2022-10-31T15:47:15Z,2022-10-31T15:47:15Z,true,1
fb901f83-c987-42a7-866e-5e4934a844ed,2651,tt0810900,High School Musical 2,2008,2022-11-06T05:22:51Z,2022-11-06T05:22:51Z,true,0
fb7f9efe-7cbd-46b2-9f2a-0ccaf8eda44a,357577,tt30840798,The Phoenician Scheme,2025,2025-06-22T17:57:44Z,2025-06-22T17:57:44Z,true,0
fa8f0304-f910-4fb0-a4dd-27e7d12fdda5,351431,tt19864828,Memory,2024,2024-06-05T17:58:46Z,2024-06-05T17:58:46Z,true,0
f957fdfb-4f22-43b3-b84e-38eb190f515f,57479,tt9095526,Brother,2019,2022-11-06T22:15:49Z,,false,0
f8bdc653-9ab8-4fa5-a02c-5623f5166485,542,tt1951264,The Hunger Games: Catching Fire,2013,2022-11-06T05:22:59Z,2022-11-06T05:22:59Z,true,0
f83dabb9-6fb5-4d67-9583-bdd9b4a5b86d,111150,tt19500164,Nimona,2023,2023-07-26T12:06:17Z,2023-07-26T12:06:17Z,true,0
f6987486-5380-4f63-b80c-cd7a35b616eb,318,tt0114709,Toy Story,1996,2022-10-31T15:49:58Z,2022-10-31T15:49:58Z,true,0
f5577333-ba9d-4204-975c-ccdf3564129b,5270,tt5197068,Tamara,2016,2023-04-09T12:39:47Z,2023-04-09T12:39:47Z,true,0
f3c95a3c-4636-44a7-9d00-e516c358ded7,339491,tt15737898,Blue Giant,2024,2024-03-18T11:06:11Z,2024-03-18T11:06:11Z,true,0
f3b8c4f9-693e-4d8e-8107-9308e3c67262,5845,tt4272866,The Boy and the Beast,2015,2022-11-06T22:09:51Z,2022-11-06T22:09:55Z,true,0
f2c8a90f-d7df-4120-a8cb-2a17e84c4d9b,337214,tt15109082,The Quiet Girl,2023,2024-01-14T08:52:43Z,,false,0
f03d68f8-4c03-4c39-b952-ef4ac67e7371,32,tt6966692,Green Book,2019,2024-12-24T15:47:01Z,,false,0
f00f5dda-cebe-496e-b43b-3dbcb2953dee,201,tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,2022-10-31T15:47:15Z,2022-10-31T15:47:15Z,true,0
efbf87e8-a323-47a5-bbd7-7dddf713d114,346834,,La Beauté du geste,2022,2023-10-13T14:16:08Z,,false,0
eeca34eb-a4c3-4e35-be6e-6c31f875ce56,112269,tt0099785,Home Alone,1990,2022-12-19T17:34:14Z,2022-12-19T17:34:14Z,true,0
ee46e16b-a8e7-48ec-adf3-a74e87583eff,1151,tt0034492,Bambi,1942,2022-11-15T20:54:48Z,2022-11-15T20:54:49Z,true,0
ee1011f1-27c1-469c-92dc-caf884f20601,131702,tt10676052,The Fantastic Four: First Steps,2025,2025-07-31T05:55:53Z,2025-07-31T05:55:53Z,true,0
ede431a8-5a66-4aa8-8b5e-2af107bec51a,160810,tt8231668,Good on Paper,2021,2024-05-03T07:00:06Z,2024-05-03T07:00:06Z,true,0
ed1ea12b-fc3a-4794-930c-93368ca04f7c,354178,tt20198716,"Love, Divided",2024,2024-04-16T19:51:27Z,2024-04-16T19:51:27Z,true,0
ece0589d-ad8f-4811-a3d9-4fcbc87cb324,199147,tt8080204,Hypnotic,2023,2023-09-08T08:08:50Z,2023-09-08T08:08:51Z,true,0
ec79e963-668a-445c-b1af-4d19e29f40c5,352784,tt24216998,Humanist Vampire Seeking Consenting Suicidal Person,2024,2024-03-21T14:20:58Z,2024-03-21T14:20:58Z,true,0
eb0a741b-f1ea-4c49-96ff-2298f9ec9fb7,1257,tt1119646,The Hangover,2009,2022-11-06T05:23:23Z,2022-11-06T05:23:23Z,true,0
ea2c6fa3-053f-4cc3-b34c-9bcf519b695f,4137,tt6320628,Spider-Man: Far From Home,2019,2026-04-18T17:15:45Z,2026-04-18T17:15:45Z,true,0
ea25eff1-d708-4db4-a5d9-3f75985b887c,329,tt0435761,Toy Story 3,2010,2022-10-31T15:49:48Z,2022-10-31T15:49:48Z,true,0
e943ce86-78dc-40fc-9c56-786fda634124,14251,tt6398184,Downton Abbey,2019,2025-09-17T11:04:33Z,2025-09-17T11:04:33Z,true,0
e86d93fb-1e52-42f9-a6b7-0fafecb9e50a,6,tt1517451,A Star Is Born,2018,2022-11-02T12:02:31Z,2022-11-02T12:02:35Z,true,0
e86ad74f-3e3d-45cf-8c55-c5a5f8938748,49,tt3606756,Incredibles 2,2018,2022-10-31T15:50:11Z,2022-10-31T15:50:11Z,true,0
e81f34a9-ff7a-4b9e-a700-e0788ee37ef1,360046,tt21993194,A Missing Part,2024,2024-11-21T16:48:30Z,2024-11-21T16:48:30Z,true,0
e7792e9d-e603-4297-9f7e-150cdfa84bb8,369,tt0042332,Cinderella,1952,2022-10-31T16:00:09Z,2022-10-31T16:00:09Z,true,0
e6709677-59fd-40d4-a1eb-442a50e1e29b,347354,tt26446278,The Count of Monte Cristo,2024,2024-07-23T06:49:22Z,2024-07-23T06:49:22Z,true,0
e626b457-66d6-422f-b02a-32b5464eaf2c,758,tt0083866,E.T. The Extra-Terrestrial,1982,2022-11-15T20:50:20Z,2022-11-15T20:50:23Z,true,0
e5619027-8385-47d6-963b-024344c4f72f,778,tt1325004,The Twilight Saga: Eclipse,2010,2023-04-09T16:22:12Z,2023-04-09T16:22:12Z,true,1
e542ae47-4e0c-4028-abba-73df0372fd58,136493,tt1262426,Wicked,2024,2024-12-06T21:56:53Z,2024-12-06T21:56:55Z,true,0
e529afe0-dab0-4c33-816b-8c69c0f35ffe,65987,tt2049403,Beetlejuice Beetlejuice,2024,2024-10-13T20:48:24Z,2024-10-13T20:48:26Z,true,0
e4a52c43-8016-4a97-aa24-42ffc53712d0,3792,tt0421994,Imagine Me & You,2005,2025-06-17T20:49:33Z,2025-06-17T20:49:33Z,true,0
e42677c5-c4de-4ef4-97e6-1a3130b93551,1396,tt1951261,The Hangover Part III,2013,2022-11-06T05:23:42Z,2022-11-06T05:23:42Z,true,0
e4119760-98f6-471c-956a-f7982ec91bfd,362617,tt35420252,Love is overrated,2025,2025-04-24T06:03:42Z,2025-04-24T06:03:42Z,true,0
e40030e7-e4d9-4e6b-a501-c1b324de03cb,1369,tt0121164,Corpse Bride,2005,2022-11-01T18:45:41Z,2022-11-01T18:45:42Z,true,0
e3181b7b-3b53-48e4-bec1-dd5b970f0f89,1464,tt0359950,The Secret Life of Walter Mitty,2013,2025-01-30T20:45:20Z,2025-01-30T20:45:20Z,true,0
e2e5f5cc-1349-4aa5-a4c2-25331650169b,2730,tt4034354,Swiss Army Man,2016,2023-01-22T17:44:32Z,,false,0
e2d0b1e2-fa08-4ca1-99c5-f370edacf7da,358551,tt30319503,Dìdi,2024,2025-07-21T15:53:41Z,2025-07-21T15:53:41Z,true,0
