uuid,tvdb_id,imdb_id,title,status,created_at
fcb60b56-0510-4478-a669-f95196950e97,332353,,Final Space,watch_later,2022-11-01T20:49:43.200859Z
f7736567-1c7a-4730-aaf8-b8c45812c26e,152831,,Adventure Time,watch_later,2022-11-06T05:39:29.60134Z
f6a7388c-b2f6-4210-86f7-b94be808da76,71663,,The Simpsons,continuing,2024-09-13T03:22:43.373034Z
f5b82616-fd9b-408f-9a1c-9d12b6d834cb,423062,,Off the Hook (2022),up_to_date,2022-11-02T11:57:38.290285Z
f51c0fa8-20f1-4c02-91fb-c744d68c68a0,395494,,Heartstopper,continuing,2022-10-31T15:47:15.859078Z
f3529ca8-cc36-4966-99f3-6f8c42e1e014,355837,,Sweet Tooth,watch_later,2022-11-06T05:35:19.84998Z
f16cdc37-c87e-43de-8c9b-e1ff2f8288bd,322971,,Anne with an E,stopped,2022-11-02T13:36:20.04587Z
ef308d5f-36ed-451b-a93e-b1d6a38b0568,432106,,Hierarchy,continuing,2024-09-13T03:25:22.969026Z
eebf9360-9fd2-4902-bfcd-80eb5c2a7f4d,401233,,My Dress-Up Darling,continuing,2025-09-21T19:58:18.749651Z
ee78f402-c69c-48a7-9e23-6341a2a58768,368401,,SAS Rogue Heroes,not_started_yet,2022-12-03T18:34:36.224173Z
eb788d5b-cfd8-4cc9-8f2f-0b4b8da26d06,323168,,13 Reasons Why,stopped,2022-10-31T16:01:13.309778Z
eb17f628-3f52-4e4d-9442-ad93c1d4cc7e,404645,,Business Proposal,up_to_date,2023-06-21T10:52:59.186912Z
eb0e8c87-88c1-47ec-9b15-1ef647f7f9aa,459840,,Better Late Than Single,continuing,2025-07-21T20:37:56.676164Z
e782706f-5338-4ce5-979f-56a87d6d8481,450946,,Pop Star Academy: KATSEYE,up_to_date,2024-09-13T03:20:57.11013Z
e5603c4c-8795-4450-b18f-1afdfebe2579,323855,,Dear White People,watch_later,2022-11-01T20:47:30.058564Z
e4dfada6-ea5f-45f6-a18a-12fb6bd911fa,80409,,H,stopped,2022-11-01T22:43:01.897218Z
e4c0002a-839b-4358-87cb-611776f992f6,364439,,Emily in Paris,continuing,2022-12-30T11:01:35.888667Z
e3e21b0b-dcab-4da2-b3ef-c975be632f40,391992,,KinnPorsche,up_to_date,2024-04-15T20:32:54.356078Z
e07e9aca-2d9d-4471-842f-25b45dbf8999,429870,,My Demon,continuing,2023-11-28T20:59:12.081964Z
dfe903fb-e9bf-4f94-beda-379e197ce401,417943,,The 7 Lives of Lea,up_to_date,2022-11-02T11:58:52.313257Z
dfb232bd-7b68-4f55-b2bd-dac0ceb7b73e,152721,,Victorious,stopped,2023-08-15T18:53:37.4427Z
dd80cae1-1144-4238-9b6b-94a86d4a62fc,353764,,The Umbrella Academy,continuing,2022-10-31T15:47:15.859046Z
d9441a6f-0d48-4087-875c-82ef3b929aed,369209,,Mental (2019),up_to_date,2022-10-31T16:11:37.109932Z
d8993045-2f4e-49cd-bc57-e2111816419b,389492,,Monster (2022),watch_later,2022-11-01T20:10:54.117783Z
d851161e-847f-4d48-9492-879b751610a5,443496,,Squeezie: Thanks Internet,up_to_date,2024-01-26T11:17:12.965203Z
d7a320b0-b127-4505-846e-a37b92cd2f40,340959,,Killing Eve,watch_later,2022-11-01T20:45:52.975546Z
d7a2b297-2f17-4ec1-bc10-24e89ae75d0f,323225,,Cable Girls,watch_later,2023-11-23T17:49:05.405436Z
d7687163-6817-43b4-a938-d4c6b74ed441,410658,,Orelsan: Never Show This to Anyone,watch_later,2022-12-02T00:52:28.518642Z
d5bf9ed4-5fb4-4a71-9489-383069a4ef90,393114,,You Make Me Dance,up_to_date,2023-11-09T19:35:32.9688Z
d025bcff-3615-4bc2-bce1-1825b67b9a60,273181,,Better Call Saul,watch_later,2022-11-01T20:14:43.86488Z
cede9472-e8cc-435b-818e-07d675cb3fee,355567,,The Boys,watch_later,2022-10-31T15:47:15.859058Z
cb70aa5f-0a06-424d-a6da-4cfd89bfde26,380850,,Control Z,stopped,2022-11-02T13:38:52.821692Z
cb1f3fe8-5cfb-4f85-9c73-dd0a58ee4f5f,82459,,The Mentalist,stopped,2023-11-23T17:51:29.158794Z
cb1a72a1-efa4-48fc-b165-22e222701612,403294,,The Bear,continuing,2023-01-08T21:30:27.053429Z
c9e4ac28-d711-4e55-8c05-2a84bcf7fa8f,427503,,Cooking Crush,stopped,2023-12-12T20:28:23.5245Z
c98f68c0-ddf9-4ab3-9493-801c9d3d192a,83610,,Glee,stopped,2022-11-01T22:49:57.918801Z
c89b7b03-cb1f-4776-b5ea-374263ce2310,275274,,Rick and Morty,watch_later,2022-10-31T15:47:15.859044Z
c7debe8d-da13-4ae6-9d88-2aec5e992879,423347,,Why R U? (KR),up_to_date,2024-03-23T21:26:07.96335Z
c649369b-d5c5-420a-b1d8-b2bb61a4abdc,348117,,Insatiable,up_to_date,2022-11-01T20:43:43.576029Z
c633c8e2-eae7-477f-89a2-8c0b9278e671,260449,,Vikings,stopped,2022-11-07T00:30:23.015709Z
c5bfef36-7895-43ec-abc5-87558a6fc049,436899,,A Sign of Affection,not_started_yet,2024-02-22T12:50:16.424941Z
c51a9fcc-9c73-4ac4-83ea-8296dddb868f,431798,,Fiasco,stopped,2025-07-21T20:41:06.864945Z
c09a9734-37cd-4c48-9540-53cd2b6a821b,425204,,Queen Charlotte: A Bridgerton Story,up_to_date,2023-05-05T07:34:03.089055Z
c08cb30d-fe12-49ad-9820-903d2fc34520,81189,,Breaking Bad,watch_later,2022-10-31T16:02:10.136583Z
c08293a9-ee62-45c1-99bb-4c7ca8450b60,251562,,Bref.,up_to_date,2023-11-23T17:48:38.017113Z
bf99ecd5-3062-4192-bff6-9f355825f701,312505,,Dirk Gently's Holistic Detective Agency,up_to_date,2022-11-01T20:46:04.646578Z
be75c25b-5d13-4f74-a752-40d370e5d3ae,253463,,Black Mirror,continuing,2022-10-31T16:02:31Z
bd79fd6a-3d30-473b-a46c-2f6b8a3ffad3,281621,,Jane the Virgin,stopped,2022-12-02T00:57:39.252047Z
bccb4efc-6c1f-4af3-849d-9b303c0426c4,360261,,Euphoria (US),continuing,2022-11-01T19:56:34.387181Z
bc9bbe52-1222-4f59-8b13-1290c154dc59,432761,,Pyramid Game,continuing,2024-04-16T05:44:34.652965Z
bc118465-bc75-4a25-b886-0c395a418641,392063,,Color Rush,continuing,2025-10-19T19:44:19.221513Z
bae0f35a-6b1e-4a08-b3c7-f955463e9226,75760,,How I Met Your Mother,up_to_date,2022-11-01T19:56:09.873601Z
ba875d90-6da8-4e9b-a0dc-4ef4c49746fe,419030,,Love Class,continuing,2025-12-30T07:39:13.910829Z
b820b5bf-bedf-4959-b4dd-db76ff0e0a11,371944,,Inventing Anna,stopped,2022-11-01T20:00:19.698139Z
b55e87ce-75ff-4129-bab1-b4cf2fd9bf4c,328634,,The Good Doctor,watch_later,2023-05-02T05:19:10.793631Z
b4b6c7b0-282a-434f-a366-8ec452a2d340,375892,,Solar Opposites,not_started_yet,2022-12-02T00:39:33.941376Z
b496eb32-9b3c-45ea-a7de-2f392695ec8c,444970,,"Ready, Set, Love",up_to_date,2024-05-11T20:34:25.025281Z
b3ec0154-a04e-4a90-9e5a-40ec04caa5e7,402799,,Uncoupled,up_to_date,2022-11-01T20:39:23.472067Z
