"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Extension Triceps Corde",,"",0,"warmup",15,10,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Extension Triceps Corde",,"",1,"normal",20,10,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Extension Triceps Corde",,"",2,"normal",20,10,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Extension Triceps Corde",,"",3,"normal",15,10,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Extension triceps à la poulie",,"",0,"normal",5,20,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Extension triceps à la poulie",,"",1,"normal",5,20,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Extension triceps à la poulie",,"",2,"normal",5,20,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Écarté Poulie Un Bras",,"",0,"normal",7.5,20,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Écarté Poulie Un Bras",,"",1,"normal",7.5,20,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Écarté Poulie Un Bras",,"",2,"normal",10,20,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Développé Couché (Haltère)",,"",0,"normal",36,10,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Développé Couché (Haltère)",,"",1,"normal",44,10,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Développé Couché (Haltère)",,"",2,"normal",44,10,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Développé Couché Incliné (Barre)",,"",0,"normal",40,10,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Développé Couché Incliné (Barre)",,"",1,"normal",45,7,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Développé Couché Incliné (Barre)",,"",2,"dropset",40,3,,,
"Entraînement matinal ☀️","5 juil. 2026, 10:33","5 juil. 2026, 11:52","Pecs + triceps","Développé Couché Incliné (Barre)",,"",3,"normal",40,10,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Oiseau Un Bras (Poulie)",,"",0,"normal",5,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Oiseau Un Bras (Poulie)",,"",1,"normal",5,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Oiseau Un Bras (Poulie)",,"",2,"normal",7.5,10,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Oiseau Un Bras (Poulie)",,"",3,"dropset",5,10,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Élévation latérale à un bras (câble)",,"",0,"normal",2.5,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Élévation latérale à un bras (câble)",,"",1,"normal",2.5,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Élévation latérale à un bras (câble)",,"",2,"normal",2.5,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Tirage Machine Convergente",,"",0,"normal",30,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Tirage Machine Convergente",,"",1,"normal",40,14,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Tirage Machine Convergente",,"",2,"normal",30,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Tirage Poitrine (Poulie)",,"",0,"normal",40,10,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Tirage Poitrine (Poulie)",,"",1,"normal",45,10,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Tirage Poitrine (Poulie)",,"",2,"normal",45,10,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Halo avec kettlebell",,"",0,"normal",8,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Halo avec kettlebell",,"",1,"normal",8,20,,,
"Entraînement d'après-midi 💪","3 juil. 2026, 16:38","3 juil. 2026, 17:37","Épaule + dos","Halo avec kettlebell",,"",2,"normal",8,20,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Escaliers",,"",0,"normal",,,,300,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Presse à Cuisses",,"Machine = 53kg",0,"warmup",53,12,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Presse à Cuisses",,"Machine = 53kg",1,"normal",133,10,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Presse à Cuisses",,"Machine = 53kg",2,"normal",133,10,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Presse à Cuisses",,"Machine = 53kg",3,"normal",133,4,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Presse à Cuisses",,"Machine = 53kg",4,"dropset",93,6,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Presse à Cuisses",,"Machine = 53kg",5,"normal",93,10,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Relevé de Bassin (Barre)",,"",0,"normal",60,10,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Relevé de Bassin (Barre)",,"",1,"normal",80,10,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Relevé de Bassin (Barre)",,"",2,"normal",100,10,,,
"Entraînement matinal ☀️","28 juin 2026, 10:09","28 juin 2026, 11:49","","Leg Curl Assis",,"45 j'ai abusé même si j'ai réussi",0,"normal",30,10,,,
