"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Stair Machine (Floors)",,"",0,"normal",,,,180,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Leg Press Horizontal (Machine)",,"",0,"normal",90,12,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Leg Press Horizontal (Machine)",,"",1,"normal",100,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Leg Press Horizontal (Machine)",,"",2,"normal",100,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Single Leg Press (Machine)",,"",0,"normal",50,20,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Single Leg Press (Machine)",,"",1,"normal",50,20,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Adduction (Machine)",,"",0,"normal",45,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Adduction (Machine)",,"",1,"normal",40,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Adduction (Machine)",,"",2,"normal",40,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Abduction (Machine)",,"",0,"normal",45,12,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Abduction (Machine)",,"",1,"normal",45,12,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Abduction (Machine)",,"",2,"normal",45,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Leg Extension (Machine)",,"",0,"normal",30,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Leg Extension (Machine)",,"",1,"normal",30,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Thrust (Barbell)",,"😌",0,"normal",45,12,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Thrust (Barbell)",,"😌",1,"normal",55,10,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Hip Thrust (Barbell)",,"😌",2,"normal",45,8,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Calf Extension (Machine)",,"",0,"normal",20,12,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Calf Extension (Machine)",,"",1,"normal",30,15,,,
"Entraînement matinal ☀️","10 juil. 2026, 07:04","10 juil. 2026, 08:00","","Back Extension (Hyperextension)",,"",0,"normal",,10,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Stair Machine (Floors)",,"",0,"normal",,,,120,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Stair Machine (Floors)",,"",1,"normal",,,,120,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Lunge",,"",0,"normal",,20,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Lunge",,"",1,"normal",,20,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Burpee",,"Burpees box",0,"normal",,8,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Burpee",,"Burpees box",1,"normal",,8,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Plyo Jump",,"",0,"normal",,20,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Plyo Jump",,"",1,"normal",,20,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Squat (Dumbbell)",,"Squat to press",0,"normal",3,10,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Squat (Dumbbell)",,"Squat to press",1,"normal",3,10,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Pull Up (Assisted)",,"",0,"normal",35,10,,,
"Cardio + haut du corps","8 juil. 2026, 07:04","8 juil. 2026, 08:00","","Pull Up (Assisted)",,"",1,"dropset",21,1,,,
